Year,Region,Season,Soil Type,Soil pH,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Organic Matter (%),Soil Moisture (%),Avg Rainfall (mm),Solar Radiation Impact (BTU/sqft),Rotation Sequence,Crop_Planted (Action),Growth Duration (days),Water Requirement (mm),Phosphorus Requirement (kg/ha),Potassium Requirement (kg/ha),Nitrogen Requirement (kg/ha),Base Yield (kg/ha),Simulated Yield (kg/ha),Soil Score Before,Soil Score After
2000,Tamil Nadu,Zaid,Laterite,5.2,70.78,16.35,41.85,1.59,5.14,950,27,"['Groundnut', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,8175.51,0.47,0.48
2007,Uttar Pradesh,Kharif,Alluvial,7.36,116.45,35.43,52.22,3.08,16.16,800,22,"['Soybean', 'Chickpea', 'Cucumber']",Soybean,100,500,25,35,50,2000,2834.03,0.83,0.83
2007,Manipur,Kharif,Forest,6.59,87.98,21.91,54.83,8.34,26.66,1800,17,"['Groundnut', 'Chickpea', 'Okra']",Groundnut,90,400,20,30,50,1200,1314.49,0.98,0.98
2002,Himachal Pradesh,Rabi,Laterite,5.77,93.61,11.79,51.4,2.52,10.61,1200,16,"['Rice', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,707.63,0.6,0.6
2006,Punjab,Zaid,Alluvial,7.4,82.02,34.21,53.33,3.32,17.02,600,23,"['Soybean', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,3608.95,0.8,0.81
2016,Arunachal Pradesh,Kharif,Laterite,5.76,85.72,17.63,57.23,1.5,9.1,2500,15,"['Rice', 'Chickpea', 'Cucumber']",Rice,140,1500,40,60,100,4000,1762.86,0.57,0.57
2003,Tamil Nadu,Zaid,Red,5.8,107.14,23.98,60.84,2.76,16.24,950,27,"['Soybean', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2398.3,0.74,0.76
2020,Ladakh,Rabi,Sandy,6.71,84.86,18.04,25.6,1.89,10.39,200,12,"['Rice', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,600.0,0.56,0.56
2006,Himachal Pradesh,Zaid,Laterite,5.3,115.34,14.08,49.43,1.0,8.53,1200,16,"['Rice', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,1877.6,0.55,0.57
2005,Andaman and Nicobar Islands,Rabi,Sandy,6.91,70.43,14.17,26.66,1.12,8.38,3000,30,"['Groundnut', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,850.45,0.48,0.49
2008,Jharkhand,Rabi,Laterite,5.71,90.19,10.97,37.62,1.49,11.96,1000,21,"['Maize', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,658.4,0.53,0.53
2004,Ladakh,Kharif,Sandy,5.92,61.39,10.37,38.29,1.5,5.51,200,12,"['Soybean', 'Pigeon Pea', 'Okra']",Soybean,100,500,25,35,50,2000,800.0,0.45,0.45
2000,Delhi,Zaid,Alluvial,7.09,111.72,33.61,65.93,3.34,20.53,700,24,"['Maize', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,3072.23,0.88,0.9
2010,Mizoram,Kharif,Laterite,5.4,88.48,13.63,54.09,1.94,14.83,2200,14,"['Maize', 'Pigeon Pea', 'Cucumber']",Maize,110,600,35,50,80,6000,2336.98,0.61,0.61
2015,Karnataka,Zaid,Alluvial,6.83,119.92,23.01,65.25,4.09,23.58,900,23,"['Rice', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,11507.18,0.89,0.91
2003,Uttar Pradesh,Zaid,Alluvial,7.19,80.83,30.24,56.79,3.94,16.74,800,22,"['Rice', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2222.81,0.8,0.81
2006,Tamil Nadu,Zaid,Alluvial,7.38,126.84,22.75,60.23,2.34,24.25,950,27,"['Groundnut', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,3033.39,0.85,0.87
2002,Chhattisgarh,Rabi,Laterite,6.0,81.43,12.62,59.47,2.03,7.61,1300,25,"['Rice', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,631.22,0.56,0.56
2011,Maharashtra,Rabi,Red,6.35,87.91,28.24,45.66,1.56,17.0,900,26,"['Soybean', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,1411.98,0.68,0.69
2019,Uttar Pradesh,Kharif,Alluvial,7.4,124.35,35.6,69.26,2.25,16.62,800,22,"['Rice', 'Pigeon Pea', 'Cucumber']",Rice,140,1500,40,60,100,4000,2133.33,0.86,0.86
2019,Uttar Pradesh,Kharif,Alluvial,6.81,109.03,27.45,78.2,4.92,17.84,800,22,"['Groundnut', 'Pigeon Pea', 'Tomato']",Groundnut,90,400,20,30,50,1200,1646.74,0.9,0.9
2001,Goa,Kharif,Sandy,5.99,77.68,16.52,26.73,1.71,7.37,3000,28,"['Soybean', 'Chickpea', 'Chili']",Soybean,100,500,25,35,50,2000,1321.57,0.49,0.49
2019,Ladakh,Kharif,Mountain,6.76,74.66,24.88,51.63,2.62,15.43,200,12,"['Soybean', 'Chickpea', 'Tomato']",Soybean,100,500,25,35,50,2000,800.0,0.69,0.69
2013,Puducherry,Kharif,Alluvial,6.85,109.49,39.58,64.6,4.72,19.34,1200,26,"['Groundnut', 'Chickpea', 'Chili']",Groundnut,90,400,20,30,50,1200,2374.67,0.93,0.93
2000,Dadra and Nagar Haveli,Zaid,Laterite,5.02,98.85,17.39,35.86,2.44,7.81,1800,25,"['Soybean', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,1738.78,0.55,0.56
2016,Rajasthan,Kharif,Saline,8.25,31.31,14.95,19.4,0.78,9.42,400,35,"['Maize', 'Chickpea', 'Cucumber']",Maize,110,600,35,50,80,6000,2327.87,0.45,0.45
2004,Lakshadweep,Kharif,Coral,7.29,38.57,7.14,9.83,0.98,4.27,1500,32,"['Rice', 'Pigeon Pea', 'Cucumber']",Rice,140,1500,40,60,100,4000,655.55,0.35,0.35
2020,Delhi,Rabi,Alluvial,7.34,89.55,25.37,64.56,3.12,18.95,700,24,"['Rice', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,1522.17,0.8,0.8
2002,Lakshadweep,Rabi,Coral,7.52,31.4,5.49,8.08,1.0,0.7,1500,32,"['Rice', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,329.15,0.3,0.3
2001,Madhya Pradesh,Kharif,Red,5.8,76.13,27.73,44.1,2.42,15.53,1000,27,"['Soybean', 'Pigeon Pea', 'Cucumber']",Soybean,100,500,25,35,50,2000,2218.4,0.66,0.66
2002,Sikkim,Rabi,Alluvial,6.69,92.81,32.23,52.45,2.02,21.28,2000,17,"['Soybean', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,1611.51,0.78,0.79
2007,Dadra and Nagar Haveli,Kharif,Laterite,5.09,105.1,21.94,56.7,1.68,8.76,1800,25,"['Soybean', 'Pigeon Pea', 'Cucumber']",Soybean,100,500,25,35,50,2000,1754.95,0.61,0.61
2018,West Bengal,Zaid,Laterite,5.04,93.28,18.14,38.6,2.18,5.31,1500,20,"['Rice', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,1813.97,0.52,0.54
2005,Gujarat,Rabi,Sandy,6.95,62.13,15.37,29.8,1.83,7.72,800,30,"['Soybean', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,922.25,0.5,0.51
2006,Lakshadweep,Zaid,Sandy,6.59,53.41,10.52,35.94,1.54,11.37,1500,32,"['Soybean', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,3155.05,0.5,0.5
2012,Daman and Diu,Zaid,Alluvial,7.24,128.48,34.29,51.23,3.2,19.34,800,27,"['Groundnut', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,7684.8,0.87,0.89
2004,Sikkim,Kharif,Mountain,7.37,67.37,11.62,42.85,3.38,10.58,2000,17,"['Maize', 'Chickpea', 'Chili']",Maize,110,600,35,50,80,6000,1991.56,0.61,0.61
2014,Nagaland,Rabi,Laterite,5.95,82.51,18.24,51.44,2.32,7.8,1800,16,"['Rice', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1094.3,0.58,0.58
2006,Uttar Pradesh,Zaid,Alluvial,6.66,112.86,28.71,71.9,2.14,20.66,800,22,"['Groundnut', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,3828.46,0.83,0.84
2013,Arunachal Pradesh,Kharif,Forest,6.02,73.67,21.88,52.46,9.9,21.75,2500,15,"['Rice', 'Pigeon Pea', 'Tomato']",Rice,140,1500,40,60,100,4000,2188.31,0.96,0.96
2015,West Bengal,Zaid,Laterite,5.95,110.35,15.19,43.94,2.3,5.48,1500,20,"['Groundnut', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,2025.94,0.57,0.59
2003,Lakshadweep,Zaid,Sandy,6.49,51.81,13.75,38.78,1.5,13.56,1500,32,"['Rice', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,4123.84,0.53,0.53
2003,Dadra and Nagar Haveli,Zaid,Alluvial,7.3,110.79,38.88,78.33,4.6,21.36,1800,25,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,9140.39,0.98,1.0
2011,Kerala,Rabi,Laterite,5.39,89.41,19.65,43.75,2.09,14.41,3000,19,"['Maize', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,982.47,0.62,0.62
2000,Sikkim,Zaid,Mountain,6.06,86.06,14.13,38.22,2.43,13.77,2000,17,"['Groundnut', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,1413.37,0.6,0.61
2017,Rajasthan,Rabi,Sandy,6.72,77.32,10.71,29.57,1.84,5.23,400,35,"['Rice', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,535.59,0.48,0.48
2008,Chhattisgarh,Rabi,Red,5.92,84.8,25.39,50.45,2.87,10.39,1300,25,"['Soybean', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1523.6,0.65,0.66
2003,Gujarat,Zaid,Alluvial,6.87,88.87,35.01,74.21,4.97,19.13,800,30,"['Maize', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,13965.6,0.91,0.92
2006,Maharashtra,Zaid,Black,6.74,134.83,47.34,102.47,3.72,26.8,900,26,"['Soybean', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,3707.9,1.11,1.12
2002,Lakshadweep,Rabi,Coral,7.9,22.06,9.51,7.53,0.91,1.6,1500,32,"['Maize', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,301.05,0.32,0.32
2016,Assam,Kharif,Alluvial,7.18,82.67,39.17,75.41,3.06,24.57,2200,18,"['Soybean', 'Pigeon Pea', 'Tomato']",Soybean,100,500,25,35,50,2000,3133.67,0.91,0.91
2019,West Bengal,Kharif,Laterite,5.67,98.67,19.48,43.45,1.59,8.29,1500,20,"['Rice', 'Chickpea', 'Cucumber']",Rice,140,1500,40,60,100,4000,1947.76,0.57,0.57
2003,Jammu & Kashmir,Zaid,Alluvial,7.5,127.31,35.63,53.4,4.79,24.74,900,20,"['Soybean', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,17801.31,0.98,1.0
2004,Assam,Kharif,Alluvial,7.34,116.85,30.92,71.17,4.91,21.88,2200,18,"['Rice', 'Chickpea', 'Chili']",Rice,140,1500,40,60,100,4000,3091.83,0.96,0.96
2016,Kerala,Kharif,Alluvial,7.21,85.06,21.68,71.03,2.22,23.22,3000,19,"['Maize', 'Chickpea', 'Tomato']",Maize,110,600,35,50,80,6000,3716.94,0.8,0.8
2004,Jammu & Kashmir,Kharif,Loamy,6.24,100.53,30.83,69.07,5.59,23.8,900,20,"['Maize', 'Chickpea', 'Chili']",Maize,110,600,35,50,80,6000,5285.26,0.95,0.95
2006,Tripura,Zaid,Forest,6.56,109.44,35.07,55.05,5.42,27.77,2000,16,"['Maize', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,3009.6,0.98,1.0
2009,Tamil Nadu,Zaid,Red,5.56,105.32,16.67,54.78,1.02,14.69,950,27,"['Groundnut', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,8333.98,0.62,0.63
2007,Puducherry,Kharif,Red,5.87,65.88,24.74,62.38,2.17,19.62,1200,26,"['Rice', 'Pigeon Pea', 'Okra']",Rice,140,1500,40,60,100,4000,2473.82,0.7,0.7
2016,Mizoram,Kharif,Laterite,5.56,74.14,17.93,43.09,2.6,14.78,2200,14,"['Groundnut', 'Chickpea', 'Tomato']",Groundnut,90,400,20,30,50,1200,1075.53,0.61,0.61
2014,Telangana,Rabi,Black,6.97,153.47,40.55,119.72,3.22,25.54,800,28,"['Rice', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,2027.7,1.12,1.12
2017,Meghalaya,Rabi,Laterite,5.38,78.31,13.25,38.83,2.99,11.97,2500,15,"['Groundnut', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,662.61,0.57,0.58
2010,Manipur,Kharif,Laterite,5.28,84.05,24.26,56.71,1.91,11.2,1800,17,"['Soybean', 'Chickpea', 'Tomato']",Soybean,100,500,25,35,50,2000,1940.49,0.62,0.62
2003,Karnataka,Zaid,Red,6.49,83.18,20.3,57.51,1.16,19.74,900,23,"['Groundnut', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,2030.03,0.68,0.69
2016,Assam,Kharif,Alluvial,6.58,93.99,28.22,68.08,2.81,16.33,2200,18,"['Rice', 'Pigeon Pea', 'Cucumber']",Rice,140,1500,40,60,100,4000,2822.41,0.78,0.78
2005,Goa,Rabi,Sandy,6.8,87.99,17.26,38.4,1.42,14.33,3000,28,"['Maize', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,862.86,0.6,0.6
2012,Meghalaya,Zaid,Laterite,5.38,78.24,16.17,53.33,1.96,14.85,2500,15,"['Maize', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,2155.84,0.6,0.62
2016,Gujarat,Kharif,Alluvial,7.36,121.92,29.37,62.44,2.82,15.56,800,30,"['Soybean', 'Pigeon Pea', 'Okra']",Soybean,100,500,25,35,50,2000,2349.91,0.82,0.82
2016,Karnataka,Kharif,Laterite,5.76,96.72,21.25,57.39,2.17,12.26,900,23,"['Rice', 'Pigeon Pea', 'Chili']",Rice,140,1500,40,60,100,4000,2124.87,0.65,0.65
2018,Goa,Zaid,Laterite,5.23,82.37,16.76,33.87,2.91,11.06,3000,28,"['Soybean', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,5027.45,0.57,0.58
2016,Haryana,Kharif,Alluvial,6.98,117.85,20.94,58.06,2.07,19.98,700,24,"['Rice', 'Pigeon Pea', 'Chili']",Rice,140,1500,40,60,100,4000,1866.67,0.77,0.77
2002,Himachal Pradesh,Rabi,Mountain,6.61,80.81,27.04,46.56,3.12,18.77,1200,16,"['Soybean', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1622.62,0.74,0.75
2015,Meghalaya,Zaid,Red,6.4,84.0,21.31,63.54,2.28,18.05,2500,15,"['Rice', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,2841.07,0.72,0.73
2001,Dadra and Nagar Haveli,Kharif,Alluvial,6.85,97.53,31.8,61.77,3.31,24.04,1800,25,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Groundnut,90,400,20,30,50,1200,1907.9,0.87,0.87
2005,Madhya Pradesh,Rabi,Red,6.3,82.55,28.66,48.94,2.05,16.98,1000,27,"['Rice', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,1719.42,0.7,0.7
2009,Arunachal Pradesh,Zaid,Forest,6.49,107.06,29.84,50.33,7.3,29.8,2500,15,"['Soybean', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,3978.98,1.02,1.04
2012,Dadra and Nagar Haveli,Zaid,Alluvial,7.08,90.46,31.59,60.25,3.61,19.6,1800,25,"['Soybean', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2487.55,0.84,0.85
2010,Chhattisgarh,Kharif,Red,5.97,66.94,24.61,45.46,1.69,18.97,1300,25,"['Groundnut', 'Pigeon Pea', 'Tomato']",Groundnut,90,400,20,30,50,1200,1476.79,0.65,0.65
2017,Jharkhand,Rabi,Red,5.53,90.1,18.36,64.65,1.69,13.48,1000,21,"['Soybean', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,917.89,0.64,0.65
2005,Himachal Pradesh,Rabi,Mountain,7.04,64.83,19.22,36.19,2.73,15.03,1200,16,"['Groundnut', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,960.78,0.63,0.64
2008,Andhra Pradesh,Rabi,Red,5.88,64.61,22.22,60.63,2.02,11.57,900,20,"['Soybean', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1333.03,0.61,0.62
2016,Andaman and Nicobar Islands,Kharif,Alluvial,6.87,93.84,36.12,72.45,2.55,17.09,3000,30,"['Soybean', 'Pigeon Pea', 'Cucumber']",Soybean,100,500,25,35,50,2000,2889.92,0.82,0.82
2013,Rajasthan,Kharif,Sandy,5.88,74.73,13.69,33.88,1.75,5.37,400,35,"['Maize', 'Pigeon Pea', 'Cucumber']",Maize,110,600,35,50,80,6000,2346.71,0.47,0.47
2006,Lakshadweep,Zaid,Sandy,6.03,77.49,18.44,42.49,1.03,13.67,1500,32,"['Soybean', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,2459.25,0.56,0.58
2018,Puducherry,Zaid,Red,5.71,72.12,19.04,51.32,1.04,13.22,1200,26,"['Soybean', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,2538.49,0.57,0.58
2011,Goa,Rabi,Laterite,5.48,81.66,15.14,44.22,1.71,11.49,3000,28,"['Soybean', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,908.63,0.55,0.56
2003,Madhya Pradesh,Zaid,Red,5.78,86.86,23.8,62.36,1.86,11.28,1000,27,"['Soybean', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2380.26,0.64,0.66
2005,Puducherry,Rabi,Red,6.43,104.98,24.11,47.33,2.0,13.3,1200,26,"['Soybean', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1446.8,0.68,0.69
2020,Meghalaya,Rabi,Red,5.79,65.09,17.29,47.38,1.32,11.87,2500,15,"['Groundnut', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,864.64,0.54,0.55
2008,Manipur,Rabi,Forest,6.4,73.21,30.49,56.42,9.91,21.12,1800,17,"['Maize', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1829.41,1.0,1.0
2010,Haryana,Kharif,Alluvial,7.43,123.28,36.34,57.74,2.51,21.69,700,24,"['Maize', 'Chickpea', 'Tomato']",Maize,110,600,35,50,80,6000,6229.96,0.88,0.88
2014,Odisha,Rabi,Laterite,5.71,96.75,17.15,55.16,1.41,14.68,1500,25,"['Soybean', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,1028.96,0.63,0.64
2019,Karnataka,Kharif,Alluvial,7.08,105.38,24.85,53.45,3.83,17.89,900,23,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Groundnut,90,400,20,30,50,1200,1490.89,0.81,0.81
2010,Assam,Kharif,Alluvial,7.05,126.6,26.41,67.82,3.11,19.54,2200,18,"['Groundnut', 'Pigeon Pea', 'Okra']",Groundnut,90,400,20,30,50,1200,1584.77,0.86,0.86
2009,Tripura,Zaid,Alluvial,7.26,129.5,26.45,74.3,2.76,21.82,2000,16,"['Maize', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,3526.28,0.89,0.91
2010,Meghalaya,Kharif,Red,6.25,83.66,24.09,63.83,1.21,18.51,2500,15,"['Maize', 'Pigeon Pea', 'Okra']",Maize,110,600,35,50,80,6000,4129.98,0.69,0.69
2017,Odisha,Rabi,Alluvial,7.24,86.21,34.62,78.15,2.54,15.66,1500,25,"['Rice', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,2077.04,0.81,0.81
2007,Jharkhand,Kharif,Red,5.74,101.4,26.26,63.99,2.65,11.86,1000,21,"['Rice', 'Pigeon Pea', 'Chili']",Rice,140,1500,40,60,100,4000,2625.75,0.71,0.71
2013,Lakshadweep,Kharif,Coral,7.44,30.46,6.79,9.39,0.7,4.08,1500,32,"['Rice', 'Chickpea', 'Tomato']",Rice,140,1500,40,60,100,4000,625.73,0.32,0.32
2013,Maharashtra,Kharif,Black,6.36,153.98,42.48,101.59,4.32,25.77,900,26,"['Groundnut', 'Chickpea', 'Chili']",Groundnut,90,400,20,30,50,1200,2548.92,1.11,1.11
2014,Gujarat,Rabi,Alluvial,7.44,99.19,30.87,77.19,3.87,16.17,800,30,"['Maize', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,1543.55,0.87,0.87
2006,Nagaland,Zaid,Laterite,5.74,106.53,20.41,35.0,2.76,9.95,1800,16,"['Groundnut', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2040.58,0.62,0.63
2003,Mizoram,Zaid,Laterite,5.2,119.88,21.29,51.21,2.56,6.43,2200,14,"['Rice', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,10643.02,0.62,0.64
2001,Chhattisgarh,Kharif,Red,6.35,98.12,28.15,50.26,2.64,11.11,1300,25,"['Soybean', 'Chickpea', 'Tomato']",Soybean,100,500,25,35,50,2000,2252.12,0.69,0.69
2019,Meghalaya,Kharif,Red,6.22,79.86,26.96,44.5,1.46,17.22,2500,15,"['Soybean', 'Chickpea', 'Tomato']",Soybean,100,500,25,35,50,2000,2156.75,0.66,0.66
2018,Andhra Pradesh,Zaid,Alluvial,7.41,114.7,30.85,57.55,3.04,16.82,900,20,"['Rice', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,4113.93,0.83,0.84
2005,Tripura,Rabi,Forest,6.14,79.09,28.47,51.52,8.07,29.12,2000,16,"['Soybean', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,1423.6,0.99,1.0
2017,Manipur,Rabi,Laterite,5.7,100.57,10.27,56.16,2.86,10.65,1800,17,"['Groundnut', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,616.3,0.62,0.63
2004,Lakshadweep,Kharif,Sandy,6.6,78.29,11.53,37.29,1.61,9.24,1500,32,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Groundnut,90,400,20,30,50,1200,691.52,0.52,0.52
2007,Tripura,Kharif,Forest,6.19,103.62,38.21,44.91,6.18,21.66,2000,16,"['Soybean', 'Chickpea', 'Tomato']",Soybean,100,500,25,35,50,2000,2566.42,0.93,0.93
2000,Goa,Zaid,Sandy,6.0,84.8,15.19,37.74,1.4,5.55,3000,28,"['Rice', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,7594.19,0.5,0.51
2019,Tripura,Kharif,Alluvial,7.42,119.39,32.07,53.43,3.24,23.64,2000,16,"['Maize', 'Chickpea', 'Chili']",Maize,110,600,35,50,80,6000,5498.47,0.89,0.89
2006,Goa,Zaid,Sandy,5.71,63.88,17.38,33.57,1.22,9.52,3000,28,"['Soybean', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,2316.67,0.49,0.5
2006,Mizoram,Zaid,Laterite,5.22,78.28,10.51,39.34,2.56,7.78,2200,14,"['Groundnut', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,1401.09,0.51,0.52
2017,Goa,Rabi,Laterite,5.09,103.18,12.67,58.83,1.3,9.15,3000,28,"['Rice', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,760.23,0.56,0.56
2007,Uttar Pradesh,Kharif,Alluvial,7.4,105.11,31.91,52.01,4.25,17.1,800,22,"['Rice', 'Pigeon Pea', 'Tomato']",Rice,140,1500,40,60,100,4000,2133.33,0.85,0.85
2016,Haryana,Kharif,Alluvial,6.95,81.83,29.44,66.95,2.2,22.76,700,24,"['Rice', 'Chickpea', 'Chili']",Rice,140,1500,40,60,100,4000,1866.67,0.8,0.8
2001,Sikkim,Kharif,Mountain,6.5,81.38,19.62,44.91,3.53,11.03,2000,17,"['Maize', 'Pigeon Pea', 'Chili']",Maize,110,600,35,50,80,6000,3363.73,0.65,0.65
2006,Andhra Pradesh,Zaid,Loamy,6.98,110.13,31.81,84.87,4.58,23.01,900,20,"['Rice', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,15903.77,0.97,0.99
